   78  5      136.40
    9.100000 2643.488000  130.785400   .4545  123.183300      .65  36:29    36.48     2.50
    8.100000 2645.323000  130.698000   .3945  123.016700      .77  37:14    37.25     2.59
    7.100000 2647.157000  130.611000   .3317  122.850000      .93  38:10    38.17     2.68
    6.100000 2648.992000  130.520800   .2688  122.683300     1.16  39:20    39.34     2.77
    5.100000 2650.827000  130.419200   .2081  122.516700     1.03  40:22    40.37     2.85
    4.400000 2652.111000  130.330900   .1679  122.400000      .50  40:52    40.87     2.89
    4.100000 2652.661000  130.287500   .1670  122.393000     1.68  42:32    42.55     2.85
    3.100000 2654.496000  130.128100   .1645  122.369800     1.70  44:14    44.24     2.72
    2.100000 2656.331000  129.939500   .1631  122.346500     1.70  45:56    45.94     2.55
    1.100000 2658.165000  129.705100   .1643  122.323300     1.65  47:35    47.59     2.34
     .100000 2660.000000  129.390000   .1715  122.300000     1.65  49:14    49.25     2.05
   78  4      136.00     
   62.000000 1973.000000  136.000100   .1838  122.600000     1.35   0: 0      .00     3.90
   61.100000 1973.396000  135.883100   .1870  122.972000     1.47   1:28     1.47     3.95
   60.100000 1973.837000  135.862100   .1911  123.385300     1.44   2:54     2.90     3.89
   59.100000 1974.277000  135.841000   .1959  123.798700     1.40   4:18     4.30     3.83
   58.100000 1974.717000  135.819600   .2015  124.212000     1.36   5:39     5.66     3.76
   57.100000 1975.157000  135.797700   .2081  124.625300     1.31   6:58     6.97     3.70
   56.100000 1975.598000  135.774800   .2159  125.038700     1.26   8:13     8.23     3.64
   55.100000 1976.038000  135.750800   .2252  125.452000     1.20   9:25     9.43     3.57
   54.100000 1976.478000  135.725500   .2364  125.865300     1.14  10:34    10.57     3.51
   53.100000 1976.919000  135.698200   .2499  126.278700     1.08  11:39    11.65     3.44
   52.100000 1977.359000  135.668200   .2666  126.692000     1.00  12:39    12.65     3.37
   51.100000 1977.799000  135.634000   .2877  127.105300      .92  13:34    13.57     3.30
   50.100000 1978.240000  135.593600   .3148  127.518700      .83  14:24    14.41     3.22
   49.100000 1978.680000  135.543400   .3512  127.932000      .74  15: 8    15.15     3.13
   48.100000 1979.120000  135.476500   .4025  128.345300      .63  15:46    15.77     3.02
   47.100000 1979.560000  135.376800   .4847  128.758700      .06  15:49    15.83     2.88
   47.000000 1979.604000  135.364300   .4905  128.800000      .51  16:20    16.34     2.86
   46.100000 1980.001000  135.253200   .4962  128.728700      .56  16:53    16.89     2.89
   45.100000 1980.441000  135.129800   .5028  128.649400      .55  17:26    17.44     2.92
   44.100000 1980.881000  135.006500   .5096  128.570100      .54  17:58    17.98     2.95
   43.100000 1981.322000  134.883200   .5166  128.490900      .53  18:30    18.52     2.98
   42.100000 1981.762000  134.759800   .5239  128.411600      .53  19: 2    19.04     3.01
   41.100000 1982.202000  134.636300   .5315  128.332300      .52  19:33    19.56     3.04
